Journal name,Year,JIF,Rank," 9,483.00 ",,,,,,
Advances in Meteorology,2022,2.9,4101, 43.25 ,,,,,,
Aesthetic Surgery Journal,2022,2.9,4102, 43.26 ,,,,,,
AGGRESSIVE BEHAVIOR,2022,2.9,4103, 43.27 ,,,,,,
AMERICAN JOURNAL OF HUMAN BIOLOGY,2022,2.9,4104, 43.28 ,,,,,,
AMERICAN JOURNAL OF SCIENCE,2022,2.9,4105, 43.29 ,,,,,,
AMERICAN NATURALIST,2022,2.9,4106, 43.30 ,,,,,,
ANALYTICAL BIOCHEMISTRY,2022,2.9,4107, 43.31 ,,,,,,
Animal Cells and Systems,2022,2.9,4108, 43.32 ,,,,,,
ANNALS OF GLACIOLOGY,2022,2.9,4109, 43.33 ,,,,,,
Annals of Global Health,2022,2.9,4110, 43.34 ,,,,,,
ANNALS OF PHARMACOTHERAPY,2022,2.9,4111, 43.35 ,,,,,,
AoB Plants,2022,2.9,4112, 43.36 ,,,,,,
Applied Clinical Informatics,2022,2.9,4113, 43.37 ,,,,,,
AQUACULTURE INTERNATIONAL,2022,2.9,4114, 43.38 ,,,,,,
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,2022,2.9,4115, 43.39 ,,,,,,
Architectural Engineering and Design Management,2022,2.9,4116, 43.40 ,,,,,,
ASIAN JOURNAL OF ANDROLOGY,2022,2.9,4117, 43.41 ,,,,,,
Atmosphere,2022,2.9,4118, 43.43 ,,,,,,
BIOCHEMISTRY,2022,2.9,4119, 43.44 ,,,,,,
Biochemistry and Cell Biology,2022,2.9,4120, 43.45 ,,,,,,
BIOLOGICAL INVASIONS,2022,2.9,4121, 43.46 ,,,,,,
BIOPOLYMERS,2022,2.9,4122, 43.47 ,,,,,,
BIOTECHNOLOGY PROGRESS,2022,2.9,4123, 43.48 ,,,,,,
BMC Family Practice,2022,2.9,4124, 43.49 ,,,,,,
BMC GENETICS,2022,2.9,4125, 43.50 ,,,,,,
BMC Oral Health,2022,2.9,4126, 43.51 ,,,,,,
BMC Pharmacology & Toxicology,2022,2.9,4127, 43.52 ,,,,,,
BMJ Open,2022,2.9,4128, 43.53 ,,,,,,
BRAIN RESEARCH,2022,2.9,4129, 43.54 ,,,,,,
Cardiology Journal,2022,2.9,4130, 43.55 ,,,,,,
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,2022,2.9,4131, 43.56 ,,,,,,
CEREBROVASCULAR DISEASES,2022,2.9,4132, 43.57 ,,,,,,
CHAOS,2022,2.9,4133, 43.58 ,,,,,,
CHEMISTRY & BIODIVERSITY,2022,2.9,4134, 43.59 ,,,,,,
CHEMPHYSCHEM,2022,2.9,4135, 43.60 ,,,,,,
Chinese Journal of Integrative Medicine,2022,2.9,4136, 43.61 ,,,,,,
CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,2022,2.9,4137, 43.63 ,,,,,,
CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,2022,2.9,4138, 43.64 ,,,,,,
CLINICAL JOURNAL OF PAIN,2022,2.9,4139, 43.65 ,,,,,,
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,2022,2.9,4140, 43.66 ,,,,,,
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,2022,2.9,4141, 43.67 ,,,,,,
COMPUTERS & MATHEMATICS WITH APPLICATIONS,2022,2.9,4142, 43.68 ,,,,,,
CONNECTIVE TISSUE RESEARCH,2022,2.9,4143, 43.69 ,,,,,,
CONTRACEPTION,2022,2.9,4144, 43.70 ,,,,,,
Critical Care and Resuscitation,2022,2.9,4145, 43.71 ,,,,,,
Current Hematologic Malignancy Reports,2022,2.9,4146, 43.72 ,,,,,,
Cytoskeleton,2022,2.9,4147, 43.73 ,,,,,,
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2022,2.9,4148, 43.74 ,,,,,,
DEVELOPMENTAL NEUROSCIENCE,2022,2.9,4149, 43.75 ,,,,,,
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,2022,2.9,4150, 43.76 ,,,,,,
DIFFERENTIATION,2022,2.9,4151, 43.77 ,,,,,,
DIGITAL SIGNAL PROCESSING,2022,2.9,4152, 43.78 ,,,,,,
Drug Testing and Analysis,2022,2.9,4153, 43.79 ,,,,,,
Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,2022,2.9,4154, 43.80 ,,,,,,
Electronics,2022,2.9,4155, 43.82 ,,,,,,
ELECTROPHORESIS,2022,2.9,4156, 43.83 ,,,,,,
Endocrine Connections,2022,2.9,4157, 43.84 ,,,,,,
ENERGY JOURNAL,2022,2.9,4158, 43.85 ,,,,,,
Energy Sources Part A-Recovery Utilization and Environmental Effects,2022,2.9,4159, 43.86 ,,,,,,
Environmental Research Communications,2022,2.9,4160, 43.87 ,,,,,,
European Journal of Cardiovascular Nursing,2022,2.9,4161, 43.88 ,,,,,,
EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,2022,2.9,4162, 43.89 ,,,,,,
EUROPEAN JOURNAL OF PROTISTOLOGY,2022,2.9,4163, 43.90 ,,,,,,
EVALUATION & THE HEALTH PROFESSIONS,2022,2.9,4164, 43.91 ,,,,,,
EVOLUTION & DEVELOPMENT,2022,2.9,4165, 43.92 ,,,,,,
EXTREMOPHILES,2022,2.9,4166, 43.93 ,,,,,,
FISH PHYSIOLOGY AND BIOCHEMISTRY,2022,2.9,4167, 43.94 ,,,,,,
Food Additives & Contaminants Part B-Surveillance,2022,2.9,4168, 43.95 ,,,,,,
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,2022,2.9,4169, 43.96 ,,,,,,
Food Analytical Methods,2022,2.9,4170, 43.97 ,,,,,,
FOOD SCIENCE AND BIOTECHNOLOGY,2022,2.9,4171, 43.98 ,,,,,,
Forests,2022,2.9,4172, 43.99 ,,,,,,
Frontiers in Earth Science,2022,2.9,4173, 44.01 ,,,,,,
Frontiers in Energy,2022,2.9,4174, 44.02 ,,,,,,
Frontiers in Human Neuroscience,2022,2.9,4175, 44.03 ,,,,,,
Frontiers in Neuroanatomy,2022,2.9,4176, 44.04 ,,,,,,
FUNCTIONAL & INTEGRATIVE GENOMICS,2022,2.9,4177, 44.05 ,,,,,,
FUNDAMENTAL & CLINICAL PHARMACOLOGY,2022,2.9,4178, 44.06 ,,,,,,
Fungal Ecology,2022,2.9,4179, 44.07 ,,,,,,
Geoheritage,2022,2.9,4180, 44.08 ,,,,,,
Grey Systems-Theory and Application,2022,2.9,4181, 44.09 ,,,,,,
HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,2022,2.9,4182, 44.10 ,,,,,,
Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice,2022,2.9,4183, 44.11 ,,,,,,
HPB,2022,2.9,4184, 44.12 ,,,,,,
IEEE ELECTRICAL INSULATION MAGAZINE,2022,2.9,4185, 44.13 ,,,,,,
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,2022,2.9,4186, 44.14 ,,,,,,
IEEE Transactions on Haptics,2022,2.9,4187, 44.15 ,,,,,,
Indian Journal of Dermatology Venereology & Leprology,2022,2.9,4188, 44.16 ,,,,,,
INFORMATICA,2022,2.9,4189, 44.17 ,,,,,,
Inorganics,2022,2.9,4190, 44.18 ,,,,,,
INTEGRATIVE CANCER THERAPIES,2022,2.9,4191, 44.19 ,,,,,,
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,2022,2.9,4192, 44.21 ,,,,,,
International Journal of Computational Intelligence Systems,2022,2.9,4193, 44.22 ,,,,,,
INTERNATIONAL JOURNAL OF FOOD PROPERTIES,2022,2.9,4194, 44.23 ,,,,,,
International Journal of Genomics,2022,2.9,4195, 44.24 ,,,,,,
International Journal of Simulation Modelling,2022,2.9,4196, 44.25 ,,,,,,
IRISH VETERINARY JOURNAL,2022,2.9,4197, 44.26 ,,,,,,
JOURNAL OF APPLIED ELECTROCHEMISTRY,2022,2.9,4198, 44.27 ,,,,,,
JOURNAL OF BIOMATERIALS APPLICATIONS,2022,2.9,4199, 44.28 ,,,,,,
Journal of Biomedical Nanotechnology,2022,2.9,4200, 44.29 ,,,,,,
JOURNAL OF BIOSCIENCES,2022,2.9,4201, 44.30 ,,,,,,
JOURNAL OF CLINICAL GASTROENTEROLOGY,2022,2.9,4202, 44.31 ,,,,,,
JOURNAL OF CLINICAL PHARMACOLOGY,2022,2.9,4203, 44.32 ,,,,,,
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,2022,2.9,4204, 44.33 ,,,,,,
JOURNAL OF COMPOSITE MATERIALS,2022,2.9,4205, 44.34 ,,,,,,
JOURNAL OF DERMATOLOGICAL TREATMENT,2022,2.9,4206, 44.35 ,,,,,,
Journal of Engineered Fibers and Fabrics,2022,2.9,4207, 44.36 ,,,,,,
JOURNAL OF ETHNOBIOLOGY,2022,2.9,4208, 44.37 ,,,,,,
Journal of Foot and Ankle Research,2022,2.9,4209, 44.38 ,,,,,,
Journal of Infrared Millimeter and Terahertz Waves,2022,2.9,4210, 44.40 ,,,,,,
Journal of Marine Science and Engineering,2022,2.9,4211, 44.41 ,,,,,,
Journal of Mathematical Inequalities,2022,2.9,4212, 44.42 ,,,,,,
JOURNAL OF MEDICAL SCREENING,2022,2.9,4213, 44.43 ,,,,,,
Journal of Medical Toxicology,2022,2.9,4214, 44.44 ,,,,,,
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,2022,2.9,4215, 44.45 ,,,,,,
JOURNAL OF NEURO-OPHTHALMOLOGY,2022,2.9,4216, 44.46 ,,,,,,
JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,2022,2.9,4217, 44.47 ,,,,,,
Journal of Nonlinear and Variational Analysis,2022,2.9,4218, 44.48 ,,,,,,
JOURNAL OF ORAL REHABILITATION,2022,2.9,4219, 44.49 ,,,,,,
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,2022,2.9,4220, 44.50 ,,,,,,
Journal of Palaeogeography-English,2022,2.9,4221, 44.51 ,,,,,,
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,2022,2.9,4222, 44.52 ,,,,,,
Journal of Perinatology,2022,2.9,4223, 44.53 ,,,,,,
JOURNAL OF PHYCOLOGY,2022,2.9,4224, 44.54 ,,,,,,
JOURNAL OF PHYSICAL CHEMISTRY A,2022,2.9,4225, 44.55 ,,,,,,
JOURNAL OF PLANT BIOLOGY,2022,2.9,4226, 44.56 ,,,,,,
Journal of Surgical Education,2022,2.9,4227, 44.57 ,,,,,,
Journal of the American Board of Family Medicine,2022,2.9,4228, 44.59 ,,,,,,
JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM,2022,2.9,4229, 44.60 ,,,,,,
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,2022,2.9,4230, 44.61 ,,,,,,
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,2022,2.9,4231, 44.62 ,,,,,,
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,2022,2.9,4232, 44.63 ,,,,,,
JOURNAL OF WOOD SCIENCE,2022,2.9,4233, 44.64 ,,,,,,
Journal on Multimodal User Interfaces,2022,2.9,4234, 44.65 ,,,,,,
Korean Circulation Journal,2022,2.9,4235, 44.66 ,,,,,,
Korean Journal of Anesthesiology,2022,2.9,4236, 44.67 ,,,,,,
LUMINESCENCE,2022,2.9,4237, 44.68 ,,,,,,
MARINE GEOLOGY,2022,2.9,4238, 44.69 ,,,,,,
Marine Resource Economics,2022,2.9,4239, 44.70 ,,,,,,
MATHEMATICAL METHODS IN THE APPLIED SCIENCES,2022,2.9,4240, 44.71 ,,,,,,
MEDICAL MYCOLOGY,2022,2.9,4241, 44.72 ,,,,,,
Metals,2022,2.9,4242, 44.73 ,,,,,,
Molecular Omics,2022,2.9,4243, 44.74 ,,,,,,
Nano Communication Networks,2022,2.9,4244, 44.75 ,,,,,,
NEURAL COMPUTATION,2022,2.9,4245, 44.76 ,,,,,,
Neurologia i Neurochirurgia Polska,2022,2.9,4246, 44.77 ,,,,,,
Neuropeptides,2022,2.9,4247, 44.79 ,,,,,,
NEUROSCIENCE RESEARCH,2022,2.9,4248, 44.80 ,,,,,,
NEUROTOXICOLOGY AND TERATOLOGY,2022,2.9,4249, 44.81 ,,,,,,
NMR IN BIOMEDICINE,2022,2.9,4250, 44.82 ,,,,,,
NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,2022,2.9,4251, 44.83 ,,,,,,
OBESITY SURGERY,2022,2.9,4252, 44.84 ,,,,,,
OCEANOLOGIA,2022,2.9,4253, 44.85 ,,,,,,
OENO One,2022,2.9,4254, 44.86 ,,,,,,
Oncology Letters,2022,2.9,4255, 44.87 ,,,,,,
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,2022,2.9,4256, 44.88 ,,,,,,
Oral Surgery Oral Medicine Oral Pathology Oral Radiology,2022,2.9,4257, 44.89 ,,,,,,
Pain Research & Management,2022,2.9,4258, 44.90 ,,,,,,
PANCREAS,2022,2.9,4259, 44.91 ,,,,,,
Parasite,2022,2.9,4260, 44.92 ,,,,,,
PHYSICA SCRIPTA,2022,2.9,4261, 44.93 ,,,,,,
PHYSICAL REVIEW A,2022,2.9,4262, 44.94 ,,,,,,
PHYSIOLOGY & BEHAVIOR,2022,2.9,4263, 44.95 ,,,,,,
Plant Signaling & Behavior,2022,2.9,4264, 44.96 ,,,,,,
POTATO RESEARCH,2022,2.9,4265, 44.98 ,,,,,,
PPAR Research,2022,2.9,4266, 44.99 ,,,,,,
PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,2022,2.9,4267, 45.00 ,,,,,,
Primary Care Diabetes,2022,2.9,4268, 45.01 ,,,,,,
PROSTAGLANDINS & OTHER LIPID MEDIATORS,2022,2.9,4269, 45.02 ,,,,,,
PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,2022,2.9,4270, 45.03 ,,,,,,
PROTOPLASMA,2022,2.9,4271, 45.04 ,,,,,,
RADIATION PHYSICS AND CHEMISTRY,2022,2.9,4272, 45.05 ,,,,,,
Reproductive Sciences,2022,2.9,4273, 45.06 ,,,,,,
REVISTA CLINICA ESPANOLA,2022,2.9,4274, 45.07 ,,,,,,
Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas,2022,2.9,4275, 45.08 ,,,,,,
SIAM JOURNAL ON NUMERICAL ANALYSIS,2022,2.9,4276, 45.09 ,,,,,,
SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,2022,2.9,4277, 45.10 ,,,,,,
SPORT EDUCATION AND SOCIETY,2022,2.9,4278, 45.11 ,,,,,,
SWISS MEDICAL WEEKLY,2022,2.9,4279, 45.12 ,,,,,,
TECTONOPHYSICS,2022,2.9,4280, 45.13 ,,,,,,
Thoracic Cancer,2022,2.9,4281, 45.14 ,,,,,,
TRANSFUSION,2022,2.9,4282, 45.15 ,,,,,,
Tropical Medicine and Infectious Disease,2022,2.9,4283, 45.17 ,,,,,,
Turkish Journal of Agriculture and Forestry,2022,2.9,4284, 45.18 ,,,,,,
ULTRASOUND IN MEDICINE AND BIOLOGY,2022,2.9,4285, 45.19 ,,,,,,
Universe,2022,2.9,4286, 45.20 ,,,,,,
URBAN ECOSYSTEMS,2022,2.9,4287, 45.21 ,,,,,,
WATER AIR AND SOIL POLLUTION,2022,2.9,4288, 45.22 ,,,,,,
WEATHER AND FORECASTING,2022,2.9,4289, 45.23 ,,,,,,
WOUND REPAIR AND REGENERATION,2022,2.9,4290, 45.24 ,,,,,,
3 Biotech,2022,2.8,4291, 45.25 ,,,,,,
ACM SIGCOMM Computer Communication Review,2022,2.8,4292, 45.26 ,,,,,,
ACTA PHARMACEUTICA,2022,2.8,4293, 45.27 ,,,,,,
ALCOHOL AND ALCOHOLISM,2022,2.8,4294, 45.28 ,,,,,,
ALLERGY AND ASTHMA PROCEEDINGS,2022,2.8,4295, 45.29 ,,,,,,
AMERICAN JOURNAL OF CARDIOLOGY,2022,2.8,4296, 45.30 ,,,,,,
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,2022,2.8,4297, 45.31 ,,,,,,
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,2022,2.8,4298, 45.32 ,,,,,,
AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,2022,2.8,4299, 45.33 ,,,,,,
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2022,2.8,4300, 45.34 ,,,,,,
ANGIOLOGY,2022,2.8,4301, 45.35 ,,,,,,
Annals of PDE,2022,2.8,4302, 45.37 ,,,,,,
Anthropocene Review,2022,2.8,4303, 45.38 ,,,,,,
Anti-Cancer Agents in Medicinal Chemistry,2022,2.8,4304, 45.39 ,,,,,,
APMIS,2022,2.8,4305, 45.40 ,,,,,,
APPLIED ARTIFICIAL INTELLIGENCE,2022,2.8,4306, 45.41 ,,,,,,
Applied Numerical Mathematics,2022,2.8,4307, 45.42 ,,,,,,
APPLIED VEGETATION SCIENCE,2022,2.8,4308, 45.43 ,,,,,,
ARCHIVE OF APPLIED MECHANICS,2022,2.8,4309, 45.44 ,,,,,,
ARCHIVES OF MICROBIOLOGY,2022,2.8,4310, 45.45 ,,,,,,
AUK,2022,2.8,4311, 45.46 ,,,,,,
AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,2022,2.8,4312, 45.47 ,,,,,,
AVIAN PATHOLOGY,2022,2.8,4313, 45.48 ,,,,,,
BEHAVIOURAL NEUROLOGY,2022,2.8,4314, 45.49 ,,,,,,
BIOCHEMISTRY-MOSCOW,2022,2.8,4315, 45.50 ,,,,,,
BIOMEDICAL MICRODEVICES,2022,2.8,4316, 45.51 ,,,,,,
BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,2022,2.8,4317, 45.52 ,,,,,,
BMC HEALTH SERVICES RESEARCH,2022,2.8,4318, 45.53 ,,,,,,
BMC Molecular and Cell Biology,2022,2.8,4319, 45.54 ,,,,,,
Cadernos de Saude Publica,2022,2.8,4320, 45.56 ,,,,,,
Canadian Journal of Infectious Diseases & Medical Microbiology,2022,2.8,4321, 45.57 ,,,,,,
CANADIAN JOURNAL OF MICROBIOLOGY,2022,2.8,4322, 45.58 ,,,,,,
Cartilage,2022,2.8,4323, 45.59 ,,,,,,
CATALYSIS LETTERS,2022,2.8,4324, 45.60 ,,,,,,
Cellular and Molecular Bioengineering,2022,2.8,4325, 45.61 ,,,,,,
CHEMICAL PHYSICS LETTERS,2022,2.8,4326, 45.62 ,,,,,,
CHRONOBIOLOGY INTERNATIONAL,2022,2.8,4327, 45.63 ,,,,,,
CLIMACTERIC,2022,2.8,4328, 45.64 ,,,,,,
CLINICAL BIOCHEMISTRY,2022,2.8,4329, 45.65 ,,,,,,
Clinical Gerontologist,2022,2.8,4330, 45.66 ,,,,,,
Clinical Neuroradiology,2022,2.8,4331, 45.67 ,,,,,,
Computational and Theoretical Chemistry,2022,2.8,4332, 45.68 ,,,,,,
COMPUTATIONAL INTELLIGENCE,2022,2.8,4333, 45.69 ,,,,,,
COMPUTERS & FLUIDS,2022,2.8,4334, 45.70 ,,,,,,
CORNEA,2022,2.8,4335, 45.71 ,,,,,,
Crop Protection,2022,2.8,4336, 45.72 ,,,,,,
Current Opinion in Allergy and Clinical Immunology,2022,2.8,4337, 45.73 ,,,,,,
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,2022,2.8,4338, 45.75 ,,,,,,
CURRENT PROTEIN & PEPTIDE SCIENCE,2022,2.8,4339, 45.76 ,,,,,,
Dermatology Practical & Conceptual,2022,2.8,4340, 45.77 ,,,,,,
DRUGS & AGING,2022,2.8,4341, 45.78 ,,,,,,
Earth Science Informatics,2022,2.8,4342, 45.79 ,,,,,,
Earthquake Engineering and Engineering Vibration,2022,2.8,4343, 45.80 ,,,,,,
Entertainment Computing,2022,2.8,4344, 45.81 ,,,,,,
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,2022,2.8,4345, 45.82 ,,,,,,
Environmental Earth Sciences,2022,2.8,4346, 45.83 ,,,,,,
Environmental Progress & Sustainable Energy,2022,2.8,4347, 45.84 ,,,,,,
ENVIRONMENTAL TECHNOLOGY,2022,2.8,4348, 45.85 ,,,,,,
ESTUARINE COASTAL AND SHELF SCIENCE,2022,2.8,4349, 45.86 ,,,,,,
EUROPEAN CYTOKINE NETWORK,2022,2.8,4350, 45.87 ,,,,,,
EUROPEAN JOURNAL OF FOREST RESEARCH,2022,2.8,4351, 45.88 ,,,,,,
European Journal of Oncology Nursing,2022,2.8,4352, 45.89 ,,,,,,
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,2022,2.8,4353, 45.90 ,,,,,,
European Physical Journal-Special Topics,2022,2.8,4354, 45.91 ,,,,,,
EUROPEAN SPINE JOURNAL,2022,2.8,4355, 45.92 ,,,,,,
Expert Review of Hematology,2022,2.8,4356, 45.93 ,,,,,,
FISHERIES,2022,2.8,4357, 45.95 ,,,,,,
Foodborne Pathogens and Disease,2022,2.8,4358, 45.96 ,,,,,,
FORESTRY,2022,2.8,4359, 45.97 ,,,,,,
Frontiers in Zoology,2022,2.8,4360, 45.98 ,,,,,,
Fuel Cells,2022,2.8,4361, 45.99 ,,,,,,
GENERAL RELATIVITY AND GRAVITATION,2022,2.8,4362, 46.00 ,,,,,,
GEOPHYSICAL JOURNAL INTERNATIONAL,2022,2.8,4363, 46.01 ,,,,,,
Healthcare,2022,2.8,4364, 46.02 ,,,,,,
HEARING RESEARCH,2022,2.8,4365, 46.03 ,,,,,,
HEART & LUNG,2022,2.8,4366, 46.04 ,,,,,,
HUMAN & EXPERIMENTAL TOXICOLOGY,2022,2.8,4367, 46.05 ,,,,,,
HYDROGEOLOGY JOURNAL,2022,2.8,4368, 46.06 ,,,,,,
IEEE Power & Energy Magazine,2022,2.8,4369, 46.07 ,,,,,,
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,2022,2.8,4370, 46.08 ,,,,,,
IMMUNOBIOLOGY,2022,2.8,4371, 46.09 ,,,,,,
IMMUNOLOGICAL INVESTIGATIONS,2022,2.8,4372, 46.10 ,,,,,,
Immunotherapy,2022,2.8,4373, 46.11 ,,,,,,
INORGANICA CHIMICA ACTA,2022,2.8,4374, 46.12 ,,,,,,
INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,2022,2.8,4375, 46.14 ,,,,,,
International Journal of Chronic Obstructive Pulmonary Disease,2022,2.8,4376, 46.15 ,,,,,,
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,2022,2.8,4377, 46.16 ,,,,,,
International Journal of Endocrinology,2022,2.8,4378, 46.17 ,,,,,,
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,2022,2.8,4379, 46.18 ,,,,,,
International Journal of Oral Implantology,2022,2.8,4380, 46.19 ,,,,,,
INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2022,2.8,4381, 46.20 ,,,,,,
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,2022,2.8,4382, 46.21 ,,,,,,
IONICS,2022,2.8,4383, 46.22 ,,,,,,
Journal of Anesthesia,2022,2.8,4384, 46.23 ,,,,,,
JOURNAL OF ARCHAEOLOGICAL SCIENCE,2022,2.8,4385, 46.24 ,,,,,,
Journal of Artificial Intelligence and Soft Computing Research,2022,2.8,4386, 46.25 ,,,,,,
Journal of Biological Dynamics,2022,2.8,4387, 46.26 ,,,,,,
Journal of Biophotonics,2022,2.8,4388, 46.27 ,,,,,,
JOURNAL OF BIOSCIENCE AND BIOENGINEERING,2022,2.8,4389, 46.28 ,,,,,,
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,2022,2.8,4390, 46.29 ,,,,,,
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,2022,2.8,4391, 46.30 ,,,,,,
JOURNAL OF CHEMICAL NEUROANATOMY,2022,2.8,4392, 46.31 ,,,,,,
Journal of Clinical Hypertension,2022,2.8,4393, 46.33 ,,,,,,
JOURNAL OF CLUSTER SCIENCE,2022,2.8,4394, 46.34 ,,,,,,
JOURNAL OF COMPUTER INFORMATION SYSTEMS,2022,2.8,4395, 46.35 ,,,,,,
Journal of Exercise Science & Fitness,2022,2.8,4396, 46.36 ,,,,,,
JOURNAL OF EXPERIMENTAL BIOLOGY,2022,2.8,4397, 46.37 ,,,,,,
Journal of Experimental Nanoscience,2022,2.8,4398, 46.38 ,,,,,,
Journal of Experimental Zoology Part A-Ecological and Integrative Physiology,2022,2.8,4399, 46.39 ,,,,,,
JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,2022,2.8,4400, 46.40 ,,,,,,
Journal of Hydro-environment Research,2022,2.8,4401, 46.41 ,,,,,,
Journal of Integrated Pest Management,2022,2.8,4402, 46.42 ,,,,,,
JOURNAL OF MARINE SYSTEMS,2022,2.8,4403, 46.43 ,,,,,,
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,2022,2.8,4404, 46.44 ,,,,,,
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,2022,2.8,4405, 46.45 ,,,,,,
JOURNAL OF NEUROSURGERY-SPINE,2022,2.8,4406, 46.46 ,,,,,,
JOURNAL OF NONDESTRUCTIVE EVALUATION,2022,2.8,4407, 46.47 ,,,,,,
JOURNAL OF ORTHOPAEDIC RESEARCH,2022,2.8,4408, 46.48 ,,,,,,
Journal of Orthopaedics and Traumatology,2022,2.8,4409, 46.49 ,,,,,,
JOURNAL OF PALLIATIVE MEDICINE,2022,2.8,4410, 46.50 ,,,,,,
Journal of Pediatric Health Care,2022,2.8,4411, 46.51 ,,,,,,
JOURNAL OF PLANT RESEARCH,2022,2.8,4412, 46.53 ,,,,,,
JOURNAL OF POLYMER RESEARCH,2022,2.8,4413, 46.54 ,,,,,,
JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION,2022,2.8,4414, 46.55 ,,,,,,
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,2022,2.8,4415, 46.56 ,,,,,,
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2022,2.8,4416, 46.57 ,,,,,,
JOURNAL OF THERMAL STRESSES,2022,2.8,4417, 46.58 ,,,,,,
JOURNAL OF VEGETATION SCIENCE,2022,2.8,4418, 46.59 ,,,,,,
JOURNAL OF VIBRATION AND CONTROL,2022,2.8,4419, 46.60 ,,,,,,
Journal of Water and Climate Change,2022,2.8,4420, 46.61 ,,,,,,
KIDNEY & BLOOD PRESSURE RESEARCH,2022,2.8,4421, 46.62 ,,,,,,
Korean Journal of Pain,2022,2.8,4422, 46.63 ,,,,,,
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,2022,2.8,4423, 46.64 ,,,,,,
MEDITERRANEAN MARINE SCIENCE,2022,2.8,4424, 46.65 ,,,,,,
MEMORIAS DO INSTITUTO OSWALDO CRUZ,2022,2.8,4425, 46.66 ,,,,,,
METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,2022,2.8,4426, 46.67 ,,,,,,
Microbial Risk Analysis,2022,2.8,4427, 46.68 ,,,,,,
MICROBIOLOGY-SGM,2022,2.8,4428, 46.69 ,,,,,,
Microfluidics and Nanofluidics,2022,2.8,4429, 46.70 ,,,,,,
